,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
20,tt6517874,Ramante Edenthottam,2017,122 min,6.0,459,"Comedy, Drama, Romance            ",malayalam
48,tt10515954,Olessia,2019,120 min,8.1,40,"Drama, Musical            ",malayalam
67,tt6120732,Olappeeppi,2016,121 min,7.6,120,Drama            ,malayalam
85,tt13088566,The Rubiks game,2014,30 min,-,-,"Short, Thriller            ",malayalam
90,tt0352979,Vida Parayaanmathram,1988,-,-,-,-,malayalam
91,tt5278634,White,I 2016,149 min,3.0,471,Romance            ,malayalam
92,tt0283028,Sayahnam,2000,-,7.0,10,-,malayalam
95,tt0252229,Amrutha Geetham,1982,-,-,-,-,malayalam
97,tt0250747,Stalin Sivadas,1999,118 min,2.7,47,"Action, Thriller            ",malayalam
98,tt0352287,Dheeran,1987,-,-,-,-,malayalam
103,tt0280817,Kamadhenu,1976,-,-,-,-,malayalam
131,tt2522328,Shutter,2012,133 min,7.7,"1,017",Thriller            ,malayalam
136,tt0376061,Pattalam,2003,159 min,5.1,316,"Action, Comedy, Drama            ",malayalam
138,tt13546104,Indulekha (Malayalam),2020– ,22 min,-,-,Drama            ,malayalam
139,tt0240945,Sukham Sukhakaram,1994,-,-,-,-,malayalam
141,tt3207826,Mullamottum Munthiricharum,2012,-,4.3,14,Drama            ,malayalam
145,tt1530891,Kaana Kanmani,2009,132 min,4.4,106,"Drama, Horror            ",malayalam
160,tt5281434,Maa Shakti,2002–2003,-,8.4,15,History            ,malayalam
163,tt6917966,Mohanlal,2018,150 min,4.5,507,Comedy            ,malayalam
165,tt8925172,Angadipattu,2018– ,23 min,-,-,Comedy            ,malayalam
174,-,Ram,2022,-,-,-,"Action, Crime, Thriller            ",malayalam
177,tt7817140,Vishwaguru,2017,-,-,-,Biography            ,malayalam
182,tt13004148,Harsha Varsha Jayaraj,2020,-,8.0,6,"Short, Comedy            ",malayalam
184,tt0271949,Adavukal Pathinettu,1978,-,-,-,-,malayalam
189,-,Vallam Kali,,86 min,-,-,Documentary            ,malayalam
199,tt8933650,Chanakya,2019,147 min,5.4,492,"Action, Adventure, Thriller            ",malayalam
203,tt0281721,Chottanikkara Amma,1976,132 min,6.6,8,Drama            ,malayalam
207,tt14492938,Aanamuttathe Aangalamar,2000,108 min,-,-,"Comedy, Drama            ",malayalam
209,tt0333636,Ira Thedunna Manushyar,1981,-,-,-,-,malayalam
212,tt2548030,Chettayees,2012,-,4.7,134,Family            ,malayalam
213,tt0352162,Ambalakkara Panchayath,1988,-,-,-,-,malayalam
229,tt0314566,Red Indians,2001,-,4.7,15,-,malayalam
237,tt6650364,Carbon,I 2018,146 min,6.9,"1,115","Adventure, Thriller            ",malayalam
238,tt0277061,Kaapalika,1973,131 min,7.8,5,-,malayalam
242,tt10626550,Athmasakhi,2016– ,-,-,-,-,malayalam
254,tt0273321,Kusruthi Kuruppu,1998,135 min,5.8,40,"Comedy, Drama            ",malayalam
258,-,Qalb,,-,-,-,"Drama, Romance            ",malayalam
261,tt0254936,Advaitham,1991,181 min,7.0,275,"Action, Crime, Drama            ",malayalam
262,tt0317900,Maruppacha,1982,-,-,-,-,malayalam
269,tt14434198,Namukkore Aakasham,2015,115 min,-,-,Drama            ,malayalam
270,tt8806546,Argentina Fans Kaattoorkadavu,2019,140 min,4.7,319,"Drama, Sport            ",malayalam
274,tt0325620,Ini Ethra Sandhyakal,1979,-,-,-,-,malayalam
280,tt6853994,Tharangam,2017,153 min,6.3,478,"Action, Comedy            ",malayalam
302,tt1102297,Paranju Theeratha Visheshangal,2007,-,6.3,6,-,malayalam
304,tt9081472,Aickarakkonathe Bhishaguaranmaar,2018,144 min,7.8,239,Drama            ,malayalam
328,tt0351120,Ivide Ingane,1984,101 min,-,-,"Action, Drama            ",malayalam
334,tt13451520,Adyathe Maravi,2019,14 min,-,-,"Short, Thriller            ",malayalam
336,tt0334187,Puzha,1980,-,-,-,-,malayalam
352,tt0317973,Pambaram,1979,-,-,-,-,malayalam
374,tt4575174,Viswasam Athalle Ellam,2015,159 min,4.9,30,"Comedy, Drama            ",malayalam
376,tt0255504,Post Man,1967,-,-,-,-,malayalam
402,tt10050738,Therottam,2019,117 min,-,-,"Action, Thriller            ",malayalam
410,tt0234578,Rebecca,1963,-,-,-,-,malayalam
415,tt0246771,Manju,1983,-,7.6,5,Drama            ,malayalam
418,tt0257905,Marunnattil Oru Malayali,1971,-,5.7,7,-,malayalam
435,tt10845422,Kanyavanangal,2019,122 min,-,-,Drama            ,malayalam
465,tt0273275,Ilamura Thamburan,1998,-,4.7,6,Drama            ,malayalam
478,tt0356101,Swarnakireedam,1996,-,-,-,-,malayalam
481,tt7393494,Aro Oral,2017,-,8.3,15,"Short, Mystery            ",malayalam
485,tt0215534,Ayalathe Sundari,1974,168 min,7.1,8,"Comedy, Musical            ",malayalam
486,tt0282606,Inakkilly,1984,-,-,-,"Drama, Romance            ",malayalam
491,tt0356152,Ullasappoonkattu,1997,-,4.8,54,Comedy            ,malayalam
494,tt0322910,Kaivazhikal Piriyumbol,1977,-,-,-,-,malayalam
506,tt10106530,Kallan Avaran,2019,21 min,-,-,"Short, Drama            ",malayalam
509,tt5879442,Varna Vasanthangal,2016,128 min,-,-,Drama            ,malayalam
510,tt3029960,Pigman,II 2013,150 min,5.1,32,"Drama, Family            ",malayalam
514,tt0305367,Chukkan,1994,158 min,5.0,23,Drama            ,malayalam
526,tt0277624,Champion Thomas,1990,107 min,5.6,8,Comedy            ,malayalam
533,tt0464800,Darshan: The Embrace,2005,92 min,6.4,184,Documentary            ,malayalam
544,tt0345689,Naadham,1983,-,-,-,-,malayalam
560,tt0353982,Savidham,1992,-,6.3,14,Romance            ,malayalam
580,tt0410521,"Right Here, Right Now",2003,28 min,7.9,209,"Short, Comedy, Drama            ",malayalam
593,tt0254185,Bhoomiyile Malakha,1965,-,-,-,-,malayalam
597,tt0351832,Thacholy Thankappan,1984,-,-,-,-,malayalam
609,tt1430096,Kutty Srank: The Sailor of Hearts,2009,127 min,7.0,494,Drama            ,malayalam
619,tt0265558,The Porter,1999,-,-,-,-,malayalam
636,tt0257089,Sandhya,1969,-,-,-,-,malayalam
639,tt0276327,Meenathil Thalikettu,1998,-,6.6,237,"Comedy, Drama, Family            ",malayalam
649,tt0244017,Kathayariyathe,1981,122 min,-,-,Drama            ,malayalam
656,tt0240891,Sesham Kazhchayil,1983,-,6.3,20,Drama            ,malayalam
658,tt0274116,Suppryaputhran,1998,-,5.9,9,-,malayalam
660,tt3417422,Drishyam,2013,160 min,8.3,"34,691","Crime, Drama, Thriller            ",malayalam
664,tt7822552,My School,2018,-,-,-,-,malayalam
682,tt0323883,Sandya My Love,2001,-,-,-,-,malayalam
684,tt0353780,Nandini Oppol,1994,125 min,5.2,11,-,malayalam
687,tt0155472,Acharam Ammini Osaram Omana,1977,-,5.1,9,"Comedy, Drama            ",malayalam
691,tt8166032,Prakasan,2017,84 min,-,-,Drama            ,malayalam
695,tt0353824,O' Faby,1993,-,7.2,59,"Animation, Drama, Family            ",malayalam
701,tt0355904,Poothumbium Poovalanmarum,1997,-,3.6,5,-,malayalam
730,tt0275184,Adivaram,1997,-,-,-,-,malayalam
739,tt0271585,Karimpin Poovinakkare,1985,127 min,7.1,68,"Action, Crime, Drama            ",malayalam
743,tt0272237,Pathmatheertham,1978,-,-,-,-,malayalam
756,tt11580792,Aalkoottathil Oruvan,2020,110 min,-,-,"Action, Drama, Thriller            ",malayalam
758,tt0244549,Inspector Balram,1991,143 min,6.9,335,"Action, Drama, Thriller            ",malayalam
761,tt0353594,Kabuliwala,1993,-,6.9,228,"Comedy, Drama, Romance            ",malayalam
767,tt2420208,Josettante Hero,2012,129 min,3.6,21,Drama            ,malayalam
782,-,Ameer,,-,-,-,"Action, Crime, Drama            ",malayalam
783,tt4866654,Madhura Naranga,2015,155 min,6.1,301,"Drama, Family, Romance            ",malayalam
784,tt0215029,Panchavadi Palam,1984,140 min,7.9,327,Comedy            ,malayalam
796,tt13865662,Mayakkazhcha,2008,136 min,-,-,"Drama, Mystery            ",malayalam
797,tt0274043,Rektha Sakshikal Zindabad,1998,145 min,5.8,138,"Action, Drama            ",malayalam
805,-,Pocket Lover,,-,-,-,Comedy            ,malayalam
808,tt8242106,Honey the Young Girl,2018,-,-,-,"Short, Family            ",malayalam
816,tt0345821,Professor Janaki,1983,-,-,-,-,malayalam
834,tt13544690,Rasaleela,2012,-,-,-,Romance            ,malayalam
864,tt0276967,Football Champion,1973,-,6.8,6,-,malayalam
876,tt0333047,Aagamanam,1980,-,-,-,-,malayalam
880,tt0230732,Sarapanjaram,1979,-,6.7,23,"Action, Drama, Thriller            ",malayalam
882,tt13294068,Idam,2019,83 min,-,-,Drama            ,malayalam
891,tt0356000,Sasinas,1995,103 min,-,-,-,malayalam
896,tt0397119,Aalippazham,2002– ,-,-,-,-,malayalam
901,tt0279507,Vrindavanam,1974,-,-,-,-,malayalam
907,tt0240846,Radha Enna Pennkutti,1979,-,-,-,-,malayalam
909,tt0292187,Pingami,1994,138 min,7.4,484,"Action, Comedy, Drama            ",malayalam
916,-,Mangalyam,,-,-,-,-,malayalam
920,tt0237363,Kamaladalam,1992,154 min,7.9,475,"Drama, Musical            ",malayalam
938,tt0459577,Twinkle Twinkle Little Star,2005,-,5.1,7,Fantasy            ,malayalam
953,tt0271771,Sangham,1988,129 min,6.7,148,"Comedy, Drama            ",malayalam
957,tt0259433,Meenamasathile Sooryan,1985,117 min,6.0,6,Drama            ,malayalam
962,tt5169256,Being with You: Nee Ennarike,2007 Video,-,-,-,"Short, Romance            ",malayalam
967,tt4125324,@Andheri,2014,116 min,4.0,10,"Action, Crime, Thriller            ",malayalam
973,tt0275649,Sannaham,1985,-,-,-,-,malayalam
980,tt14168186,Muktha-Thaju,2021 TV Special,-,-,-,Romance            ,malayalam
981,tt11363276,360 Degree,2014,-,-,-,Short            ,malayalam
985,tt0277780,Kattu Kuthira,1990,-,7.7,39,Drama            ,malayalam
1008,tt3055246,David and Goliath,2013,-,4.3,68,Drama            ,malayalam
1020,tt4582324,Oru Thundu Padam,2013,18 min,7.0,22,"Short, Comedy            ",malayalam
1027,tt11338806,Abel's Weekend,2020,10 min,-,-,"Short, Romance            ",malayalam
1029,tt0278680,Rosa I Love You,1990,-,-,-,-,malayalam
1031,tt0448552,Immini Nalloraal,2005,-,2.4,116,"Comedy, Romance            ",malayalam
1049,tt0396684,Kasthuriman,2003,141 min,6.7,296,"Drama, Romance            ",malayalam
1052,tt0273306,Kanmadam,1998,162 min,7.2,376,Drama            ,malayalam
1064,tt0277337,Soundarya Pooja,1973,-,-,-,-,malayalam
1081,tt2385161,Padmavyooham,2012,-,-,-,Thriller            ,malayalam
1088,tt0352745,Priyamvadakkoru Pranayageethom,1986,-,-,-,-,malayalam
1090,tt9381984,Manwah,2018 Video,-,-,-,"Short, Music            ",malayalam
1092,tt0250372,Ezhupunna Tharakan,1999,134 min,4.5,110,"Action, Drama            ",malayalam
1095,tt3322506,Geethanjali,2013,150 min,3.8,428,Thriller            ,malayalam
1098,-,Paachuvum Albhuthavilakkum,2021,-,-,-,Comedy            ,malayalam
1107,tt4712628,Mathai Kuzhappakkaranalla,2014,110 min,4.1,58,"Comedy, Drama            ",malayalam
1115,tt0255047,Chekuthante Kotta,1967,-,-,-,-,malayalam
1119,tt9740730,Soothrakkaran,2019,147 min,4.4,69,"Family, Thriller            ",malayalam
1148,tt0234405,Othenente Makan,1970,-,-,-,-,malayalam
1153,tt0282139,"Satyam, Shivam, Sundaram",2000,148 min,5.7,154,"Comedy, Drama            ",malayalam
1174,tt13449672,Dhira,2020,117 min,5.7,371,Animation            ,malayalam
1180,tt1687850,Apoorvaragam,2010,-,6.2,264,Drama            ,malayalam
1191,tt0252609,Koodapirappu,1956,-,-,-,-,malayalam
1201,tt7231546,Kayamkulam Kochunni,2018,152 min,7.0,"2,022","Action, Drama, History            ",malayalam
1215,tt7809456,AWARE,2017,13 min,-,-,"Short, Drama            ",malayalam
1220,-,Thariode: The Lost City,,-,-,-,"Adventure, Drama, History            ",malayalam
1259,tt6231844,Compartment,II 2015,-,8.0,8,Drama            ,malayalam
1265,-,Thera Para - The Movie,,-,-,-,"Comedy, Thriller            ",malayalam
1274,tt12621862,Passmark,2015,-,-,-,"Short, Comedy            ",malayalam
1285,tt10235416,Dance Kerala Dance,2018– ,-,-,-,Reality-TV            ,malayalam
1290,tt3170808,Bachelor,I 2013,22 min,6.5,12,"Short, Comedy            ",malayalam
1308,tt0259518,Prem Nazirine Kanmanilla,1983,120 min,6.0,12,Drama            ,malayalam
1313,tt0356054,Soorya Puthrikal,1996,-,-,-,-,malayalam
1319,tt10638274,Kamala,2019,125 min,5.5,148,Thriller            ,malayalam
1323,tt0244162,Randu Pen Kuttikal,1978,-,-,-,-,malayalam
1328,tt0353401,Ena Pravukal,1991,-,-,-,-,malayalam
1331,tt0247016,Varikuzhi,1982,-,-,-,-,malayalam
1337,tt0352206,Bharya Oru Manthri,1986,-,-,-,-,malayalam
1344,-,Nedumi,III 2021,115 min,-,-,"Action, Drama            ",malayalam
1351,tt0283113,Vanitha Police,1984,-,-,-,-,malayalam
1357,tt0430157,Greetings,2004,120 min,3.5,63,"Comedy, Romance            ",malayalam
1362,tt11154892,Meera,2018 Video,12 min,-,-,"Short, Mystery            ",malayalam
1377,tt0291871,Douthyam,1989,106 min,7.0,171,"Action, Adventure, Thriller            ",malayalam
1381,tt0356785,Kayamkulam Kanaran,2002,114 min,3.9,11,-,malayalam
1383,tt0279013,Chandrakantham,1974,-,-,-,-,malayalam
1386,tt0356079,Street,1995,-,-,-,-,malayalam
1393,tt6297144,Yaksham,2016,15 min,8.1,8,"Short, Fantasy            ",malayalam
1405,tt0351401,N.H. 47,1984,120 min,6.5,14,-,malayalam
1415,tt7470414,Neerali,2018,128 min,5.6,"2,007","Action, Adventure, Drama            ",malayalam
1428,-,A,2021,-,-,-,Thriller            ,malayalam
1436,tt0352445,Itha Samayamayi,1987,-,-,-,Drama            ,malayalam
1438,-,Wow,,-,-,-,Mystery            ,malayalam
1447,tt0235647,Oomai Kuyil,1983,-,5.3,6,-,malayalam
1461,tt0253502,Prasanna,1951,-,-,-,-,malayalam
1463,tt7158424,Mumbaai Taxi,2015,103 min,3.2,16,"Crime, Thriller            ",malayalam
1465,-,Jana Gana Mana,2021,-,-,-,Drama            ,malayalam
1470,tt0334299,Saraswathi Yaamam,1980,-,-,-,-,malayalam
1476,tt0257807,Jalakanyaka,1971,-,-,-,-,malayalam
1499,tt0254636,Orral Koodi Kallanaayi,1964,-,-,-,-,malayalam
1502,tt0355753,Masmaram,1997,162 min,5.1,15,"Action, Drama            ",malayalam
1511,tt0255668,Vandanam,1989,168 min,7.8,989,"Comedy, Romance, Thriller            ",malayalam
1522,tt7268386,Aliveni,2017 Video,-,-,-,"Short, Music            ",malayalam
1531,tt0271968,Anthony Punnyavaalan,1978,-,-,-,-,malayalam
1539,tt0266931,Sathrathil Oru Rathri,1978,-,-,-,Drama            ,malayalam
1546,tt1810551,Canvas,II 2010,-,-,-,Drama            ,malayalam
1550,tt0275530,Motte,1985,-,-,-,-,malayalam
1556,tt13854248,The Legend of Hanuman,2021– ,25 min,9.2,"4,215",Animation            ,malayalam
1558,tt6005838,168 Hours,2016,109 min,-,-,Horror            ,malayalam
1572,tt0255640,Thalamura,1993,-,-,-,-,malayalam
1573,tt9642348,Mimica,2018,8 min,-,-,Short            ,malayalam
1579,tt0324232,Thiruneliyile Pankutti,2001,78 min,-,-,-,malayalam
1596,tt10556710,Chila NewGen Nattuvisheshangal,2019,150 min,4.0,31,"Comedy, Drama, Romance            ",malayalam
1601,tt0255422,Ninnishtam Ennishtam,1986,125 min,6.5,101,Drama            ,malayalam
1619,tt9110264,Randuper (Two Persons),2018,110 min,-,-,Crime            ,malayalam
1626,tt0275552,Njan Piranna Nattil,1985,-,-,-,-,malayalam
1660,tt0240783,Oru Pynkilikatha,1984,-,-,-,-,malayalam
1665,tt0268163,Azhi Alayaazhi,1978,-,-,-,-,malayalam
1667,tt0292064,Kunjattakilikal,1986,120 min,6.7,27,"Comedy, Drama, Romance            ",malayalam
1669,-,Cake Stories,,-,-,-,Comedy            ,malayalam
1671,tt0353496,Godfather,1991,150 min,8.6,"3,066","Comedy, Drama, Romance            ",malayalam
1679,tt0359869,Radhayude Kamukan,1984,-,-,-,-,malayalam
1696,tt0233159,Adipapam,1979,-,6.4,8,-,malayalam
1699,tt0378957,Vajram,2004,122 min,3.2,132,"Action, Drama            ",malayalam
1702,tt0271978,Azhimukham,1972,-,-,-,-,malayalam
1709,tt8080960,Theneechayum Peerangippadayum,2018,-,4.4,5,Comedy            ,malayalam
1723,tt13547448,Moonil Manthan,2020,9 min,-,-,"Short, Comedy            ",malayalam
1731,tt5271528,Thilothama,2015,141 min,2.8,28,"Crime, Drama            ",malayalam
1734,tt13576846,Circle Malayalam Horror,2020– ,-,-,-,Horror            ,malayalam
1737,tt0268943,Ariyatha Veethikal,1984,111 min,7.2,19,Drama            ,malayalam
1742,tt0333712,Kanchana,1952,165 min,7.0,105,Drama            ,malayalam
1744,tt0354074,Swagatham,1989,133 min,6.3,21,-,malayalam
1763,tt0333381,Dwandha Yudham,1981,-,-,-,-,malayalam
1769,tt0333718,Karimpoocha,1981,111 min,-,-,-,malayalam
1771,tt0393139,Chakram,2003,-,4.3,105,"Action, Comedy, Drama            ",malayalam
1775,tt4760108,Nirnnayakam,2015,111 min,6.9,429,"Drama, Family            ",malayalam
1777,tt0215016,Oru Yatheryudhe Antayam,1991 TV Movie,-,8.5,8,-,malayalam
1788,tt0292181,Peruvannapurathe Visheshangal,1989,120 min,7.2,277,"Comedy, Drama            ",malayalam
1797,tt0282049,Paalkkadal,1976,-,-,-,-,malayalam
1806,tt13194732,Shades of a Kite,2020,25 min,-,-,"Short, Drama, Horror            ",malayalam
1812,tt0275208,Aye Madam,1996,-,-,-,-,malayalam
1817,tt0258396,Agni Nilavu,1991,-,-,-,-,malayalam
1818,-,Paattu,2021,-,-,-,"Drama, Romance            ",malayalam
1828,tt0353802,Njan Kodiswaran,1994,121 min,5.2,14,Mystery            ,malayalam
1832,tt0352732,Ponmuttayidunna Tharavu,1988,122 min,8.0,532,"Comedy, Drama            ",malayalam
1846,tt0355786,Moonu Kodiyum Munnooru Pavanum,1997,132 min,3.8,12,"Comedy, Drama            ",malayalam
1857,tt0317089,Apaaratha,1992,-,6.2,9,-,malayalam
1867,tt2257460,Kali Anjilum,2005,-,6.8,13,"Short, Action            ",malayalam
1871,tt4289146,Kaleidoscope for Anjali,2014,35 min,-,-,"Short, Family            ",malayalam
1884,tt13028420,Kayamkulam Kochunni,2004–2007,-,-,-,"Action, Drama, History            ",malayalam
1894,tt7951272,Thobama,2018,158 min,5.3,82,Comedy            ,malayalam
1904,tt0319363,Ennum Sambavamiyuge Yuge,2001,-,-,-,-,malayalam
1923,tt0246861,Poojapushpam,1969,-,-,-,-,malayalam
1933,tt8933438,A Morning Tale,2018,5 min,9.0,16,"Short, Comedy            ",malayalam
1945,tt7548520,Viswa Vikhyaatharaaya Payyanmaar,2017,125 min,3.3,49,Comedy            ,malayalam
1951,tt13763706,Janmam,2018,11 min,-,-,"Short, Drama            ",malayalam
1954,tt9285182,Loophole,2018,-,7.5,31,"Short, Crime, Mystery            ",malayalam
1960,tt0353578,Jeevitham Oru Raagam,1989,-,-,-,-,malayalam
1966,tt0266288,Azhakiya Ravanan,1996,120 min,7.4,733,"Comedy, Drama            ",malayalam
1968,tt0481121,Kusruthi,2004,126 min,3.8,13,Comedy            ,malayalam
1976,tt6747192,Kaattu,2017,163 min,7.0,200,Drama            ,malayalam
1984,tt10692228,Anveshanam,2020,121 min,6.0,529,"Drama, Mystery, Thriller            ",malayalam
2002,tt0252561,Janova,1953,-,-,-,-,malayalam
2005,tt2451718,One More Chance (Black Birds),2012,10 min,6.7,10,Short            ,malayalam
2014,tt0997142,Black Cat,2007,60 min,3.8,77,"Action, Thriller            ",malayalam
2016,tt0275768,Vanarasena,1996,104 min,5.4,8,-,malayalam
2024,tt5983404,Dooram,2016,128 min,4.2,13,"Comedy, Romance            ",malayalam
2029,tt1863342,Novel,2008,145 min,3.8,25,Drama            ,malayalam
2035,tt0234433,Pavangal Pennungal,1973,-,-,-,-,malayalam
2036,tt6513334,Gold Coins,2017,145 min,7.7,15,Family            ,malayalam
2055,tt0260739,Bhakta Dhruva Markandeya,II 1982,-,-,-,-,malayalam
2061,tt0292114,Mizhineer Poovukal,1986,-,7.0,17,Drama            ,malayalam
2072,tt0267567,Idiyum Minnalum,1982,-,6.4,5,-,malayalam
2078,tt11281062,Kollavarsham 1975,2019,-,-,-,Drama            ,malayalam
2093,tt8836506,Myavu myavu karimpoocha 3D,2012,-,-,-,Fantasy            ,malayalam
2095,tt0352185,Atham Chitira Chothy,1986,-,-,-,-,malayalam
2096,tt0271357,Adukkan Entheluppam,1986,-,5.8,6,Drama            ,malayalam
2099,tt0882759,Chinthamani Kolacase,2006,-,6.7,583,"Action, Crime, Mystery            ",malayalam
2123,tt12786616,The Grass,2012,6 min,-,-,"Documentary, Short            ",malayalam
2126,-,Bheemante Vazhi,,-,-,-,Comedy            ,malayalam
2162,tt0155967,Pranamam,1986,138 min,7.9,63,Drama            ,malayalam
2178,tt11928034,Seetha,2017– ,-,-,-,"Drama, Romance            ",malayalam
2207,tt2236162,Note Out,2011,145 min,-,-,Drama            ,malayalam
2217,-,Fallen Malayalam,,-,-,-,"Short, Drama            ",malayalam
2223,tt0270692,Theerangal,1978,-,-,-,-,malayalam
2227,tt0355830,Nisagandhi,2002,-,-,-,-,malayalam
2228,tt0087754,Mukhamukham,1985,107 min,6.9,35,Drama            ,malayalam
2230,tt2592236,Ozhimuri,2012,127 min,7.6,349,"Drama, Family            ",malayalam
2231,tt14130810,Ghatakan,2017,-,-,-,"Short, Action, Crime            ",malayalam
2232,-,Udampadi,,90 min,-,-,Drama            ,malayalam
2245,tt8116600,Chillax Fast Bowler,2014,5 min,-,-,"Short, Comedy            ",malayalam
2267,-,Chuzhal,,90 min,-,-,Thriller            ,malayalam
2281,tt0267648,Komaran,1982,-,-,-,-,malayalam
2298,tt0466292,Govindankutty Thirakkilanu,2004,-,-,-,-,malayalam
2304,tt0255298,Karutha Pournami,1968,-,-,-,-,malayalam
2307,tt0281180,Seemantha Puthran,1976,-,-,-,-,malayalam
2311,tt0400789,Sahodaran Sahadevan,2003,-,3.2,24,"Comedy, Drama            ",malayalam
2315,tt0246726,Keni,1982,125 min,-,-,Drama            ,malayalam
2317,tt0280851,Kuppivala,1965,-,-,-,Drama            ,malayalam
2318,tt0266805,Njan Njan Mathram,1978,-,-,-,-,malayalam
2323,tt0352205,Bhagavan,1986,-,-,-,-,malayalam
